Marca,Modelo,Año,Color,Combustible,Puertas,Caja,Motor,Carrocería,Kilómetros,Precio,Moneda,Año_zscore
Jeep,Compass,2022,Blanco,Nafta,5,Automática,2.4,SUV,500,10850000,pesos,1.548754626731494
Jeep,Compass,2022,Gris oscuro,Nafta,5,Automática,2.4,SUV,500,35500,dólares,1.548754626731494
Toyota,Corolla,2019,Gris,Nafta,4,Manual,1.8,Sedán,9000,5800000,pesos,0.7384539849117271
Jeep,Compass,2022,Negro,Nafta,5,Automática,1.3,SUV,10500,34500,dólares,1.548754626731494
Kia,Sorento,2014,Negro,Diésel,5,Automática,2.2,SUV,156000,25000,dólares,-0.6120470847878846
Mercedes-Benz,Clase C,2008,Plateado,Nafta,4,Automática,1.8,Sedán,174000,12300,dólares,-2.2326483684274185
BMW,220,2016,Blanco,Nafta,2,Automática,2.0,Coupé,66000,35500,dólares,-0.07184665690803997
Volkswagen,T-Cross,2019,Naranja,Nafta,5,Automática,1.6,SUV,35000,6800000,pesos,0.7384539849117271
Mercedes-Benz,Clase A,2017,Plateado,Nafta,5,Automática,3.0,Hatchback,55394,38500,dólares,0.19825355703188235
Mercedes-Benz,Clase A,2013,Blanco,Nafta,5,Manual,1.6,Hatchback,162080,20500,dólares,-0.882147298727807
Volkswagen,Polo,2022,Blanco,Nafta,5,Manual,1.6,Hatchback,111111,5990000,pesos,1.548754626731494
Ford,Ecosport,2011,Beige,Nafta,4,Manual,1.6,SUV,101000,2100000,pesos,-1.4223477266076516
Toyota,Etios,2015,Blanco,Nafta,5,Manual,1.5,Hatchback,83000,2940000,pesos,-0.3419468708479623
Renault,Clio,2014,Gris,Nafta,5,Manual,1.2,Hatchback,99000,2050000,pesos,-0.6120470847878846
Toyota,RAV4,2011,Gris,Nafta,5,Automática,2.4,SUV,180000,4120000,pesos,-1.4223477266076516
Toyota,Etios,2018,Gris,Nafta,5,Manual,1.5,Sedán,80000,4100000,pesos,0.4683537709718047
Mini,Cooper,2013,Rojo,Nafta,5,Manual,1.6,Hatchback,105000,15000,dólares,-0.882147298727807
Jeep,Renegade,2018,Rojo,Nafta,5,Manual,1.8,SUV,78000,5099000,pesos,0.4683537709718047
Toyota,Hilux,2017,Rojo,Diésel,4,Manual,2.8,Pick-Up,170000,8300000,pesos,0.19825355703188235
Ford,Ecosport,2019,Gris,Nafta,5,Manual,1.5,SUV,61000,4500000,pesos,0.7384539849117271
Chevrolet,Classic,2014,Gris,Nafta,5,Manual,1.6,Hatchback,38000,2400000,pesos,-0.6120470847878846
Renault,Master,2013,Blanco,Diésel,3,Manual,2.3,Hatchback,180000,5200000,pesos,-0.882147298727807
Ford,Ranger,2021,Blanco,Diésel,4,Manual,2.2,Pick-Up,55000,7500000,pesos,1.2786544127915718
Peugeot,408,2013,Gris oscuro,Nafta,4,Manual,2.0,Sedán,95000,2450000,pesos,-0.882147298727807
Honda,CR-V,2013,Blanco,Nafta,5,Automática,2.0,SUV,186700,5200000,pesos,-0.882147298727807
Dodge,Journey,2011,Blanco,Nafta,5,Automática,2.4,Crossover,110000,2450000,pesos,-1.4223477266076516
Fiat,Siena,2017,Gris,Nafta,5,Manual,1.4,Sedán,62000,2585000,pesos,0.19825355703188235
Hyundai,Tucson,2010,Negro,Nafta,5,Manual,2.0,SUV,125000,4300000,pesos,-1.692447940547574
Honda,HR-V,2019,Rojo,Nafta,5,Automática,1.8,SUV,39000,7589900,pesos,0.7384539849117271
Fiat,Linea,2014,Plateado,Nafta,4,Manual,1.8,Sedán,147000,1950000,pesos,-0.6120470847878846
